filename,subject,session,task,echo,datatype,extension,size_MB
sub-20_ses-01_task-hand_echo-3_phasediff.json,sub-20,ses-01,hand,3,phasediff.json,.json,0.0
sub-17_ses-02_task-hand_echo-4_sbref.json,sub-17,ses-02,hand,4,sbref.json,.json,0.0
sub-22_ses-01_task-hand_echo-4_bold.nii.gz,sub-22,ses-01,hand,4,bold.nii.gz,.nii.gz,131.64
sub-21_ses-03_task-hand_echo-2_phasediff.nii.gz,sub-21,ses-03,hand,2,phasediff.nii.gz,.nii.gz,0.61
sub-23_ses-02_task-hand_echo-5_sbref.json,sub-23,ses-02,hand,5,sbref.json,.json,0.0
sub-25_ses-04_task-hand_echo-3_sbref.json,sub-25,ses-04,hand,3,sbref.json,.json,0.0
sub-26_ses-01_task-hand_echo-3_sbref.nii.gz,sub-26,ses-01,hand,3,sbref.nii.gz,.nii.gz,0.6
sub-05_ses-02_task-hand_echo-5_bold.json,sub-05,ses-02,hand,5,bold.json,.json,0.0
sub-18_ses-04_task-hand_echo-5_bold.json,sub-18,ses-04,hand,5,bold.json,.json,0.0
sub-18_ses-02_task-hand_echo-5_bold.nii.gz,sub-18,ses-02,hand,5,bold.nii.gz,.nii.gz,134.98
sub-25_ses-02_task-hand_echo-2_sbref.nii.gz,sub-25,ses-02,hand,2,sbref.nii.gz,.nii.gz,0.57
sub-14_ses-02_task-hand_echo-3_phasediff.nii.gz,sub-14,ses-02,hand,3,phasediff.nii.gz,.nii.gz,0.61
sub-05_ses-04_task-hand_echo-2_bold.nii.gz,sub-05,ses-04,hand,2,bold.nii.gz,.nii.gz,151.95
sub-23_ses-04_task-hand_echo-3_bold.json,sub-23,ses-04,hand,3,bold.json,.json,0.0
sub-13_ses-04_task-hand_echo-4_phasediff.json,sub-13,ses-04,hand,4,phasediff.json,.json,0.0
sub-24_ses-02_task-hand_echo-3_sbref.nii.gz,sub-24,ses-02,hand,3,sbref.nii.gz,.nii.gz,0.6
sub-02_ses-03_task-hand_echo-4_bold.nii.gz,sub-02,ses-03,hand,4,bold.nii.gz,.nii.gz,138.28
sub-18_ses-04_task-hand_echo-5_sbref.nii.gz,sub-18,ses-04,hand,5,sbref.nii.gz,.nii.gz,0.56
